Reference Code;Reference
MAMref1;Wilson, D.E., Lacher, T.E., Jr & Mittermeier, R.A. eds. (2017). Handbook of the Mammals of the World. Vol. 7. Rodents II. Lynx Edicions, Barcelona.
MAMref2;Wilson, D.E. & Mittermeier, R.A. eds. (2011). Handbook of the Mammals of the World. Vol. 2. Hoofed Mammals. Lynx Edicions, Barcelona.
MAMref3;Franzmann A.W. 1981. Alces alces. Mammalian Species 154: 1-7.
MAMref4;Wilson, D.E. & Mittermeier, R.A. eds. (2009). Handbook of the Mammals of the World. Vol. 1. Carnivores. Lynx Edicions, Barcelona.
MAMref5;Audet A.M., Robbins C.B., Larivière S. 2002. Alopex lagopus. Mammalian Species 713: 1-10.
MAMref6;Amori G., Contoli L., Nappi A. 2008. Mammalia II: Erinaceomorpha, Soricomorpha, Lagomorpha, Rodentia. Fauna d’Italia Vol. XLIV. Calderini Editore, Milano.
MAMref7;Carascal L.M., Salvador A. (Eds.). 2005. Enciclopedia Virtual de los Vertebrados Españoles. Museo Nacional de Ciencias Naturales, Madrid.
MAMref8;Wilson, D.E. & Mittermeier, R.A. eds. (2018). Handbook of the Mammals of the World. Vol. 8. Insectivores, Sloths and Colugos. Lynx Edicions, Barcelona.
MAMref9;Rydell J., Bodfanowicz W. 1997. Barbastella barbastellus. Mammalian Species 557: 1-8.
MAMref10;Lanza B. 2012. Mammalia V: Chiroptera. Fauna d’Italia. Calderini Editore, Milano.
MAMref11;Wilson, D.E. & Mittermeier, R.A. eds. (2019). Handbook of the Mammals of the World. Vol. 9. Bats. Lynx Edicions, Barcelona.
MAMref12;Moehlman P.D., Hayssen V. 2018. Canis aureus (Carnivore: Canidae). Mammalian Species 50(957): 14-25.
MAMref13;Mech L.D. 1974. Canis lupus. Mammalian Species 37: 1-6.
MAMref14;Newsome T.M., Boitani L., Chapron G., Ciucci P., Dickman C.R., Dellinger J.A., Lopez-Bao J.V., Peterson R.O., Shores C.R., Wirsing A.J. Ripple W.J. 2016. Food habits of the world's grey wolves. Mammalian Review 46: 255-269.
MAMref15;Boitani L., Lovari S., Vigna Taglianti A. 2003. Mammalia III: Carnivora, Artiodactyla Fauna d’Italia. Calderini Editore, Milano.
MAMref16;Weinberg P.J. 2002. Capra cylindricornis. Mammalian Species 695: 1-9.
MAMref17;Semppéré A.J., Sokolov V.E., Danilkin A.A. 1996. Capreolus capreolus. Mammalian Species 538: 1-9.
MAMref18;Danilkin A.A. 1995. Capreolus pygargus. Mammalian Species 512: 1-7.
MAMref19;Wilson, D.E., Lacher, T.E., Jr & Mittermeier, R.A. eds. (2016). Handbook of the Mammals of the World. Vol. 6. Lagomorphs and Rodents I. Lynx Edicions, Barcelona.
MAMref20;Feldhamer G.A., Farris-Renner K.C., Barker C.M. 1988. Dama dama. Mammalian Species 317: 1-8.
MAMref21;Rydell J. 1993. Eptesicus nilssonii. Mammalian Species 430: 1-7.
MAMref22;Cole F.R., Wilson D.E. 2015. Felis margarita (Carnivora: Felidae). Mammalian Species 47(924): 63-77.
MAMref23;Palmeirim J.M., Hoffman R.S. 1983. Galemys pyrenaicus. Mammalian Species 207: 1-5.
MAMref24;Kingswood S.C., Blank D.A. 1996. Gazella subgutturosa. Mammalian Species 518: 1-10.
MAMref25;Larivière S., Calzada J. 2001. Genetta genetta. Mammalian Species 680: 1-6.
MAMref26;Kry_tufek B. 2010. Glis glis (Rodentia: Gliridae). Mammalian Species 42(865): 195-206.
MAMref27;Pasitschniak-Arts M., Larivière S. 1995. Gulo gulo. Mammalian Species 499: 1-10.
MAMref28;Angerbjörn A., Flux J.E. 1995. Lepus timidus. Mammalian Species 495: 1-11.
MAMref29;Hung N., Law C.J. 2014. Lutra lutra (Carnivora: Mustelidae). Mammalian Species 48(940): 109-122.
MAMref30;Tumlison R. 1987. Felis lynx. Mammalian Species 269: 1-8.
MAMref31;Monakhov, V.G. 2011. Martes zibellina (Carnivora: Mustelidae). Mammalian Species 43(876): 75-86.
MAMref32;Koffler B.R. 1972. Meriones crassus. Mammalian Species 9: 1-4.
MAMref33;Mathias, M.L., Hart E.B., Ramalhinho, M.G., Jaabola M. 2015. Microtus agrestis (Rodentia: Cricetidae). Mammalian Species 49(944): 23-39.
MAMref34;Pita R., Mira A., Beja P. 2014. Microtus cabrerae (Rodentia: Cricetidae). Mammalian Species 46(912): 48-70.
MAMref35;Sokolov V.E., Kotenkova E.V., Michailenko A.G. 1998. Mus spicilegus. Mammalian Species 592: 1-6.
MAMref36;Palomo L.J., Justo E.R., Vargas J.M. 2009. Mus spretus (Rodentia: Muridae). Mammalian Species 840: 1-10.
MAMref37;King C.M. 1983. Mustela erminea. Mammalian Species 195: 1-8.
MAMref38;Sheffield S.R., King C.M. 1994. Mustela nivalis. Mammalian Species 454: 1-10.
MAMref39;Bogdanowicz W. 1994. Myotis daubentonii. Mammalian Species 475: 1-9.
MAMref40;Alberdi A., Aizpurua O. 2017. Plecotus macrobullaris (Chiroptera: Vespertilionidae). Mammalian Species 50(958): 26-33.
MAMref41;Kwiecinski G.G., Griffiths T.A. 1999. Rousettus egyptiacus. Mammalian Species 611: 1-9.
MAMref42;Lurz P.W.W., Gurnell J., Magris L. 2005. Sciurus vulgaris. Mammalian Species 769: 1-10.
MAMref43;Garcia-Perea R., Ventura J., Lopez-Fuster M.J., Gisbert J. 1997. Sorex granarius. Mammalian Species 554: 1-4.
MAMref44;Ramos-Lara N., Koprowski J.L., Kry_tufek B., Hoffmann I.E. 2014. Spermophilus citellus (Rodentia: Sciuridae). Mammalian Species 46(913): 71-87.
MAMref45;Gür M., Gür H. 2010. Spermophilus xanthoprymnis (Rodentia: Sciuridae). Mammalian Species 42(864): 183-194.
MAMref46;Pasitschniak-Arts M. 1993. Ursus arctos. Mammalian Species 439: 1-10.
MAMref47;DeMaster D.P., Stirling I. 1981. Ursus maritimus. Mammalian Species 145: 1-7.
MAMref48;Rydell J., Baagae H.J. 1994. Vespertilio murinus. Mammalian Species 467: 1-6.
MAMref49;Gorsuch W.A., Larivière S. 2005. Vormela peregusna. Mammalian Species 779: 1-5.
MAMref50;Larivière S., Pasitschniak-Arts M. 1996. Vulpes vulpes. Mammalian Species 537: 1-11.
MAMref51;Parrini F., Cain III J.W., Krausman P.R. 2009. Capra ibex (Artiodactyla: Bovidae). Mammalian Species 830: 1-12.
MAMref52;Sokolov V.E. 1974. Saiga tatarica. Mammalian Species 38: 1-4.
MAMref53;Youngman P.M. 1990. Mustela lutreola. Mammalian Species 362: 1-3.
HERPref1;Arakelyan M.S., Dalielyan F.D., Corti C., Sindaco R., Leviton A.E. 2011. HERPetofauna of Armenia and Nagorno-Karabakh. Society for the Study of Amphibians and Reptiles, Ithaca, New York.
HERPref2;Atatür M.K., Göçmen B. 2001. Amphibians and Reptiles of Northern Cyprus. Ege Üniversitesi, Fen Fakültesi Kitaplar Serisi, No. 170, Ege Üniversitesi Basimevi, Bornova-Izmir.
HERPref3;Baran I., Atatür M.K. 1998. Turkish HERPetofauna: Amphibians and Reptiles. Ministry of Environment, Turkey.
HERPref4;Nöllert, A., Nöllert, C., 1992. Die Amphibien Europas. Kosmos, Stuttgart.
HERPref5;Speybroeck, J., Beukema, W., Bok, B., Van Der Vot, J., Velikov, I., 2016. Field Guide to the Amphibians & Reptiles of Britain and Europe. Bloomsbury Publishing, London.
HERPref6;Carascal L.M., Salvador A. (Eds.). 2005. Enciclopedia Virtual de los Vertebrados Españoles. Museo Nacional de Ciencias Naturales, Madrid.
HERPref7;Lanza B., Andreone F., Bologna M.A., Corti C., Razzetti E. (Eds.). 2007. Amphibia. Fauna d'Italia Vol. XLII. Calderini Editore, Bologna.
HERPref8;Cicek, K., Tok, C.V., Mermer, A., Tosunoglu, M., Ayaz, D., 2007. Food habits of the Lycian Salamander, Lyciasalamandra fazilae (Basoglu and Atatur, 1974): Preliminary data on Dalyan population. North-Western Journal of Zoology 3, 1-8.
HERPref9;Valakos E.D., Pafilis P., Sotiropoulos K., Lymberakis P., Maragou P., Foufopoulos J. 2008. The Amphibians and Reptiles of Greece. Chimaira, Frankfurt am Main.
HERPref10;Arntzen, J.W., Bohme, W., Grossenbacher, K. eds., 1999. Handbuch der Reptilien und Amphibien Europas. Bd. 4/I. Schwanzlurche (Urodela) I (Hynobiidae, Proteidae, Plethodontidae, Salamandridae I: Pleurodeles, Salamandrina, Euproctus, Chioglossa, Mertensiella) AULA-Verlag, Wiesbaden
HERPref11;Farasat, H., Sharifi, M. (2014): Food habit of the endangered yellow-spotted newt Neurergus microspilotus (Caudata, Salamandridae) in Kavat Stream, western Iran. Zoological Studies 53: 61.
HERPref12;Dinets, V. (2015): Trogloxeny in the Caucasian parsley frog (Pelodytes caucasicus). HERPetol. Bull. 133: 31-32.
HERPref13;Cicek, K. (2011): Food composition of Uludag frog, Rana macrocnemis Boulenger, 1885 in Uludag (Bursa, Turkey). Acta HERPetol. 6: 87-99.
HERPref14;Trochet, A., Moulherat, S., Calvez, O., Stevens, V., Clobert, J., Schmeller, D., 2014. A database of life-history traits of European amphibians. Biodiversity Data Journal 2, e4123.
HERPref15;"Dusen, S., 2012. First data on the helminth fauna of a locally distributed mountain frog, ""Tavas frog"" Rana tavasensis Baran & Atatur, 1986 (Anura: Ranidae), from the inner-west Anatolian region of Turkey. Turkish Journal of Zoology 36, 496-502"
HERPref16;Blaustein, L., Friedman, J., Fahima, T., 1996. Larval Salamandra drive temporary pool community dynamics: Evidence from an artificial pool experiment. Oikos 76, 392-402.
HERPref17;Grossenbacher, K., Thiesmeier, B. eds., 2003. Handbuch der Reptilien und Amphibien Europas. Bd. 4/IIA: Schwanzlurche (Urodela) IIA. AULA-Verlag, Wiesbaden.
HERPref18;Kuzmin, S.L., Dunayev, E.A., Munkhbayar, K., Munkhbaatar, M., Oyuunchimeg, J., Terbish, K. (2017): The amphibians of Mongolia. KMK Scientific Press, Moscow.
HERPref19;Kuzmin, S.L. (2005): Ommatotriton ophryticus: Northern Banded Newt. In: AmphibiaWeb, p. http://amphibiaweb.org/species/6655.  University of California, Berkeley, CA, USA.
HERPref20;Raffaelli, J. (2007): Les Urodèles du monde. Penclen, France.
HERPref21;Salvador A. (Ed.). 1998. Fauna Iberica Vol. 10. Reptiles. Museo Nacional de Ciencias Naturales & Consejo Superior de Investicaciones Cientificas, Madrid.
HERPref22;Hokayem, M.L., Bloquet, S.H., Sadek, R., Saade, J.H., 2006. Régime alimentaire d’une population d’Acanthodactylus schreiberi syriacus Böttger, 1879 (Reptilia Lacertidae) de la côte sud du Liban. Bulletin de la Société HERPetologique de France 119, 17-25.
HERPref23;Corti C., Capula M., Luiselli L., Razzetti E., Sindaco R. 2011. Reptilia. Fauna d'Italia Vol. XLV. Calderini Editore, Bologna.
HERPref24;Corti C., Lo Cascio P. 2002. The lizards of Italy and Adjacent Areas. Chimaira, Frankfurt.
HERPref25;Baran I., Atatür M.K. 1998. Turkish HERPetofauna: Amphibians and Reptiles. Ministry of Environment, Turkey.
HERPref26;Arakelyan M.S., Dalielyan F.D., Corti C., Sindaco R., Leviton A.E. 2011. HERPetofauna of Armenia and Nagorno-Karabakh. Society for the Study of Amphibians and Reptiles, Ithaca, New York.
HERPref27;Mahlow, K., Tillack, F., Schmidtler, J.F., Mueller, J., 2013. An annotated checklist, description and key to the dwarf snakes of the genus Eirenis JAN, 1863 (Reptilia: Squamata: Colubridae), with special emphasis on the dentition. Vertebrate Zoology 63, 41-85.
HERPref28;Kreiner G., 2007. The snakes of Europe. Chimaira, Frankfurt am Main.
HERPref29;Amr, Z.S., Disi, A.M. (2011): Systematics, distribution and ecology of the snakes of Jordan. Vertebrate Zoology 61: 179-266.
HERPref30;Fritz, U., editor. (2001): Handbuch der Reptilien und Amphibien Europas, Band 3/IIIA: Schildkröten (Testudines) I (Bataguridae, Testudinidae, Emydidae) AULA-Verlag, Wiebelsheim.
HERPref31;"Petzold, H.G., 1977. Eremias velox caucasica, Lantz, 1928; Schneller Kaukasus-Wüstenrenner. Aquarien und Terrarien 24, 358a."
HERPref32;Mishagina, J.V., 2008. Ecological groups of preys in Eastern Kara Kum psammobiont lizards, Eremias (Lacertidae) and Phrynocephalus (Agamidae), In The Problems of HERPetology (Proceedings of the 3rd Meeting of the Nikolsky HERPetological Society). eds N.B. Ananjeva, I.G. Danilov, E.A. Dunayev, V.G. Ishchenko, G.A. Lada, S.N. Litvinchuk, V.F. Orlova, E.M. Smirina, B.S. Tuniyev, R.G. Khalikov. Russian Academy of Sciences, Saint-Petersburg.
HERPref33;Mishagina, J.V. (2007): On Food Habits of Sand Racerunner, Eremias scripta (Strauch, 1867) (Squamata, Lacertidae) from Barchan Sands of Eastern Kara Kum (Repetek Reserve). Russ. J. HERPetol. 14: 50-56.
HERPref34;Carretero, M.A., Roca, V., Martin, J.E., Llorente, G.A., Montori, A., Santos, X., Mateos, J. (2006): Diet and helminth parasites in the Gran Canaria giant lizard, Gallotia stehlini. Revista Española de HERPetología 20: 105-117.
HERPref35;Orlov, N., Ananjeva, N., Khalikov, R. (2002): Natural history of pitvipers in Eastern and Southeastern Asia. In: Biology of the Vipers, pp. 345-360. Schuett, G., Hoggren, M., Douglas, M., Greene, H., Eds.
HERPref36;Atatür, M.K., Göçmen, B. (2001): Amphibians and Reptiles of Northern Cyprus. Ege Üniversitesi, Fen Fakültesi Kitaplar Serisi, No. 170, Ege Üniversitesi Basimevi, Bornova-Izmir.
HERPref37;Disi, A.M., Modry, D., Necas, P.U.L.R. (2001): Amphibians and Reptiles of of the Hashemite Kingdom of Jordan - An Atlas and Fieldguide. Chimaira, Frankfurt.
HERPref38;Sadek, R.A. (1981): The Diet of the Madeiran Lizard Lacerta dugesii. Zoological Journal of the Linnean Society 73: 313-341.
HERPref39;Arnold, E.N. (1987): Resource partition among lacertid lizards in southern Europe. Journal of Zoology (B) 1: 739-782.
HERPref40;Grbac, I., Leiner, S., Perovi_, F. (2001): Thermoregulation and diet composition of insular popuilations of Podarcis melisellensis and Lacerta oxycephala. Biota 2: 38.
HERPref41;Ananjeva, N.B., Orlov, N.L., Khalikov, R.G., Darevsky, I.S., Ryabov, S.A., Barabanov, A.V. (2006): The Reptiles of Northern Eurasia. Taxonomic diversity, distribution, conservation status. Pensoft, Sofia, Bulgaria.
HERPref42;Khan, M.S. (2006): Amphibians and reptiles of Pakistan. Krieger Publishing Company, Malabar, Florida.
HERPref43;Schleich, H.H., Kästle, W., Kabish, K., 1996. Amphibians and reptiles of North Africa. Koeltz, Koenigstein, Germany.
HERPref44;Rezazadeh, E., Kiabi, B.H., Ahmadzadeh, F. (2010): Contribution to the knowledge of Iranolacerta brandtii De Filippi 1863 (Sauria: Lacertidae) from the northwest of Iran. Russ. J. HERPetol. 17: 223-230.
HERPref45;Mobaraki, A., Mola, A. (2011): Mesopotamian soft shell turtle (Rafetus Euphraticus), the strangest turtle of the Middle East. Wildlife Middle East 5: 6.
HERPref46;Gil, V.F. (2011): Crescimento individual da osga-das-Selvagens (Tarentola bischoffi): influências das variações sazonais na disponibilidade alimentar. MsC Thesis, Univ. Lisboa, Lisboa, Portugal.
HERPref47;Keller, M. (2005): Ethology and Ecology of the Nile Soft-shelled Turtle Trionyx triunguis in Dalyan, Turkey. Biologisches Institut, Abteilung Zoologie. Universität Stuttgart, Stuttgart.
HERPref48;Dimaki, M.H., Valakos, E.D., Chondropoulos, B., Bonetti, A. (2000): Preliminary results on the feeding ecology of the African Chamaleon Chamaleo africanus Laurenti, 1768 from the southwestern Peloponnese, Greece. In: HERPetologia Candiana,Valakos, E., Lymberakis, P., Pafilis, P., Mylonas, M., Eds, Museum of Crete, Societas Europaea HERPetologica, Irakleio Crete.
HERPref49;Göçmen, B. (2019): Eublepharis angramainyu Anderson & Leviton, 1966. http://www.bayramgocmen.com/eangramainyu.html. Last accessed on 5 Dec 2019.
BIRDref1;Carboneras, C., Christie, D.A. & Garcia, E.F.J. (2019). Red-throated Loon (Gavia stellata). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from https://www.hbw.com/node/52473 on 7 July 2019).
BIRDref2;Carboneras, C. & Garcia, E.F.J. (2019). Arctic Loon (Gavia arctica). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from https://www.hbw.com/node/52474 on 7 July 2019).
BIRDref3;Carboneras, C., Christie, D.A. & Garcia, E.F.J. (2019). Common Loon (Gavia immer). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from https://www.hbw.com/node/52475 on 5 July 2019).
BIRDref4;Carboneras, C., Christie, D.A. & Garcia, E.F.J. (2019). Yellow-billed Loon (Gavia adamsii). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from https://www.hbw.com/node/52476 on 5 July 2019).
BIRDref5;Llimona, F., del Hoyo, J., Christie, D.A., Jutglar, F., Garcia, E.F.J. & Kirwan, G.M. (2019). Little Grebe (Tachybaptus ruficollis). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from https://www.hbw.com/node/52477 on 5 July 2019).
BIRDref6;Llimona, F., del Hoyo, J., Christie, D.A., Jutglar, F. & Kirwan, G.M. (2019). Great Crested Grebe (Podiceps cristatus). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from https://www.hbw.com/node/52489 on 5 July 2019).
